date,description,amount,type
2026-05-03,Netflix.com,649,DEBIT
2026-05-04,Amazon India,2199,DEBIT
2026-05-05,Swiggy,650,DEBIT
2026-05-06,Uber India,395,DEBIT
2026-05-07,Reliance Fresh,2350,DEBIT
2026-05-08,Electricity Bill MSEDCL,2520,DEBIT
2026-05-10,Google One,130,DEBIT
2026-05-11,Zomato,810,DEBIT
2026-05-12,ICICI Prudential Insurance Premium,3200,DEBIT
2026-05-14,Amazon India,2899,DEBIT
2026-05-15,Uber India,470,DEBIT
2026-05-17,Swiggy,720,DEBIT
2026-05-18,DMart,3760,DEBIT
2026-05-20,PhonePe Recharge,799,DEBIT
2026-05-22,Netflix.com,649,DEBIT
2026-05-23,Amazon India,4199,DEBIT
2026-05-24,Uber India,440,DEBIT
2026-05-25,Zomato,980,DEBIT
2026-05-27,Swiggy,610,DEBIT
2026-05-30,Monthly SIP Mutual Fund,10000,DEBIT
2026-05-31,Unknown Merchant XYZ,47500,DEBIT
2026-06-02,ACME Technologies Pvt Ltd Salary,85000,CREDIT
2026-06-03,Netflix.com,649,DEBIT
2026-06-04,Amazon India,1999,DEBIT
2026-06-05,Swiggy,590,DEBIT
2026-06-06,Uber India,415,DEBIT
2026-06-07,Reliance Fresh,2440,DEBIT
2026-06-08,Electricity Bill MSEDCL,2490,DEBIT
2026-06-10,Google One,130,DEBIT
2026-06-11,Zomato,850,DEBIT
2026-06-12,ICICI Prudential Insurance Premium,3200,DEBIT
2026-06-14,Amazon India,3299,DEBIT
2026-06-15,Uber India,420,DEBIT
2026-06-17,Swiggy,680,DEBIT
2026-06-18,DMart,3620,DEBIT
2026-06-20,PhonePe Recharge,799,DEBIT
2026-06-22,Netflix.com,649,DEBIT
2026-06-23,Amazon India,2399,DEBIT
2026-06-24,Uber India,405,DEBIT
2026-06-25,Zomato,1050,DEBIT
2026-06-27,Swiggy,640,DEBIT
2026-06-28,ATM Cash Withdrawal,15000,DEBIT
2026-06-30,Monthly SIP Mutual Fund,10000,DEBIT
